indice,num_tema_cadastrado,sugerido_1,similaridade_1,sugerido_2,similaridade_2,sugerido_3,similaridade_3,sugerido_4,similaridade_4,sugerido_5,similaridade_5,sugerido_6,similaridade_6,posicao_tema_real,similaridade_tema_real
1754,5,359,0.4179150462150574,72,0.4044559597969055,1186,0.3498067259788513,1067,0.3491671681404114,444,0.34479108452796936,425,0.3446412682533264,22,0.26614588499069214
1755,5,359,0.4179150462150574,72,0.4044559597969055,1186,0.3498067259788513,1067,0.3491671681404114,444,0.34479108452796936,425,0.3446412682533264,22,0.26614588499069214
1756,5,359,0.4179150462150574,72,0.4044559597969055,1186,0.3498067259788513,1067,0.3491671681404114,444,0.34479108452796936,425,0.3446412682533264,22,0.26614588499069214
1757,5,118,0.45411941409111023,359,0.4121232032775879,994,0.3944118022918701,1048,0.38895654678344727,1186,0.38887283205986023,9,0.3868802785873413,75,0.2278820127248764
1758,5,118,0.45411941409111023,359,0.4121232032775879,994,0.3944118022918701,1048,0.38895654678344727,1186,0.38887283205986023,9,0.3868802785873413,75,0.2278820127248764
1759,5,1064,0.420306921005249,459,0.36916685104370117,359,0.35590603947639465,339,0.3528643250465393,32,0.35110726952552795,315,0.3481940031051636,41,0.25332558155059814
1760,5,1064,0.420306921005249,459,0.36916685104370117,359,0.35590603947639465,339,0.3528643250465393,32,0.35110726952552795,315,0.3481940031051636,41,0.25332558155059814
1761,5,359,0.4179150462150574,72,0.4044559597969055,1186,0.3498067259788513,1067,0.3491671681404114,444,0.34479108452796936,425,0.3446412682533264,22,0.26614588499069214
1762,5,359,0.4179150462150574,72,0.4044559597969055,1186,0.3498067259788513,1067,0.3491671681404114,444,0.34479108452796936,425,0.3446412682533264,22,0.26614588499069214
1763,5,444,0.42347222566604614,966,0.40409961342811584,1046,0.3881787657737732,1076,0.3866606652736664,966,0.3631473481655121,359,0.34315967559814453,16,0.2985899746417999
1764,5,444,0.42347222566604614,966,0.40409961342811584,1046,0.3881787657737732,1076,0.3866606652736664,966,0.3631473481655121,359,0.34315967559814453,16,0.2985899746417999
1765,5,1048,0.3959203362464905,1067,0.3535808026790619,1186,0.3297498822212219,1079,0.32693129777908325,72,0.3263222575187683,118,0.3134811222553253,87,0.11524706333875656
1766,5,1048,0.3959203362464905,1067,0.3535808026790619,1186,0.3297498822212219,1079,0.32693129777908325,72,0.3263222575187683,118,0.3134811222553253,87,0.11524706333875656
1767,5,359,0.4179150462150574,72,0.4044559597969055,1186,0.3498067259788513,1067,0.3491671681404114,444,0.34479108452796936,425,0.3446412682533264,22,0.26614588499069214
1768,5,359,0.4179150462150574,72,0.4044559597969055,1186,0.3498067259788513,1067,0.3491671681404114,444,0.34479108452796936,425,0.3446412682533264,22,0.26614588499069214
1769,5,994,0.43848809599876404,1048,0.4312956631183624,1125,0.39622417092323303,1184,0.385578453540802,5,0.3848586976528168,359,0.38207870721817017,5,0.3848586976528168
1770,5,994,0.43848809599876404,1048,0.4312956631183624,1125,0.39622417092323303,1184,0.385578453540802,5,0.3848586976528168,359,0.38207870721817017,5,0.3848586976528168
1771,5,444,0.42347222566604614,966,0.40409961342811584,1046,0.3881787657737732,1076,0.3866606652736664,966,0.3631473481655121,359,0.34315967559814453,16,0.2985899746417999
1772,5,444,0.42347222566604614,966,0.40409961342811584,1046,0.3881787657737732,1076,0.3866606652736664,966,0.3631473481655121,359,0.34315967559814453,16,0.2985899746417999
1773,5,359,0.4179150462150574,72,0.4044559597969055,1186,0.3498067259788513,1067,0.3491671681404114,444,0.34479108452796936,425,0.3446412682533264,22,0.26614588499069214
1774,5,359,0.4179150462150574,72,0.4044559597969055,1186,0.3498067259788513,1067,0.3491671681404114,444,0.34479108452796936,425,0.3446412682533264,22,0.26614588499069214
1775,4,359,0.4179150462150574,72,0.4044559597969055,1186,0.3498067259788513,1067,0.3491671681404114,444,0.34479108452796936,425,0.3446412682533264,23,0.2647763192653656
1776,4,359,0.4179150462150574,72,0.4044559597969055,1186,0.3498067259788513,1067,0.3491671681404114,444,0.34479108452796936,425,0.3446412682533264,23,0.2647763192653656
1777,3,995,0.3904381990432739,694,0.3182748258113861,1081,0.31621119379997253,3,0.29342401027679443,9,0.23764963448047638,1083,0.216075137257576,4,0.29342401027679443
1778,3,995,0.3904381990432739,694,0.3182748258113861,1081,0.31621119379997253,3,0.29342401027679443,9,0.23764963448047638,1083,0.216075137257576,4,0.29342401027679443
1779,3,995,0.3904381990432739,694,0.3182748258113861,1081,0.31621119379997253,3,0.29342401027679443,9,0.23764963448047638,1083,0.216075137257576,4,0.29342401027679443
